time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,traction_command,service_brake_request
31.2,10.1040433359887,0,539107.60865211,52345.9211736535,28258.5707895364,-539107.60865211,670.554894052591,0.356506903460503,26978.6319562729,192.893046596529,0,1
31.3,10.0044685511685,0,539393.908540895,52896.1225531185,27654.0788263465,-539393.908540895,671.196851204359,0.358045023333297,27030.3127839988,244.47237013584,0,1
31.4,9.90497693384642,0,539464.889094333,53425.4417263815,27103.8774468815,-539464.889094333,671.839106662071,0.359585330786589,27082.0671144294,296.189949214093,0,1
31.5,9.80552900310371,0,539404.179110073,53946.9299281474,26574.5582736185,-539404.179110073,672.481089320849,0.361126456239563,27133.8489296493,347.958022039356,0,1
31.6,9.70610921693424,0,539770.177753298,54520.8339961611,26053.0700718526,-539770.177753298,673.122544056211,0.362667784494118,27185.6375590024,399.743244325848,0,1
31.7,9.60664655544548,0,540241.252160536,55116.534428039,25479.1660038389,-540241.252160536,673.763316011849,0.364208939291576,27237.4203601969,451.52895959966,0,1
31.8,9.50717683052193,0,540599.233134667,55712.420125959,24883.465571961,-540599.233134667,674.403913309886,0.365751139799442,27289.2382972613,503.329328729101,0,1
31.9,9.40772525734171,0,540776.638901007,56301.5532135394,24287.579874041,-540776.638901007,675.044460973605,0.367294686234187,27341.1014574687,555.169877364966,0,1
32,9.30829979727134,0,540779.379850148,56884.7611100172,23698.4467864606,-540779.379850148,675.684825243367,0.368839255471714,27392.9989838496,607.050220659134,0,1
32.1,9.20889928181356,0,540648.514752425,57466.0134642542,23115.2388899828,-540648.514752425,676.32479304429,0.37038433158286,27444.9135411841,658.956262516847,0,1
32.2,9.10951884896406,0,540432.034725956,58050.2489228245,22533.9865357458,-540432.034725956,676.964159091279,0.371929415525289,27496.8283616497,710.870951416904,0,1
32.3,9.0101524986075,0,540163.095913802,58641.1090239296,21949.7510771755,-540163.095913802,677.602767348072,0.373474125567439,27548.7306190659,762.779490357828,0,1
32.4,8.91079575661185,0,539861.276427611,59240.959208141,21358.8909760704,-539861.276427611,678.240518970466,0.375018217095227,27600.6120943996,814.671356732787,0,1
32.5,8.81144564982027,0,539537.282193555,59851.3084001271,20759.040791859,-539537.282193555,678.877354554406,0.376561540226409,27652.4677516074,866.539923003496,0,1
32.6,8.71210021251951,0,539197.873283109,60473.2983658721,20148.6915998729,-539197.873283109,679.513237964555,0.378104001016203,27704.2944341444,918.381092875885,0,1
32.7,8.61275791098091,0,538846.156972083,61107.6986450149,19526.7016341279,-538846.156972083,680.148145789271,0.379645536108184,27756.090013235,970.192223689702,0,1
32.8,8.5134176493307,0,538483.058048071,61755.0538685404,18892.3013549851,-538483.058048071,680.782062644013,0.381186101460422,27807.8530090702,1021.97151115258,0,1
32.9,8.41407859628608,0,538108.57726943,62415.8199306956,18244.9461314596,-538108.57726943,681.414976845234,0.382725661908913,27859.5822401395,1073.71762460483,0,1
33,8.31474002502611,0,537722.44951129,63090.4399540993,17584.1800693044,-537722.44951129,682.046877833092,0.384264184931908,27911.2766137121,1125.4294269258,0,1
33.1,8.21540122386735,0,537324.421538165,63779.3763264227,16909.5600459007,-537324.421538165,682.677755083245,0.38580163800982,27962.93503713,1177.10582542104,0,1
33.2,8.11606145859499,0,536914.313743334,64483.1204216669,16220.6236735773,-536914.313743334,683.307597795252,0.387337987865567,28014.556392283,1228.74571470651,0,1
33.3,8.01671996103298,0,536491.96393188,65202.1886590543,15516.8795783331,-536491.96393188,683.936394907581,0.388873200498533,28066.1395367507,1280.34796451689,0,1
33.4,7.91737593367668,0,536057.173236148,65937.1180495847,14797.8113409457,-536057.173236148,684.564135184694,0.390407241394943,28117.6833108701,1331.9114238104,0,1
33.5,7.81802855492672,0,535609.68173536,66688.4647370455,14062.8819504153,-535609.68173536,685.190807237998,0.391940075577605,28169.1865394075,1383.43492513881,0,1
33.6,7.71867698080161,0,535149.169057201,67456.8053809741,13311.5352629545,-535149.169057201,685.816399483591,0.393471667501137,28220.6480280382,1434.91728372287,0,1
33.7,7.61932034330904,0,534675.25879792,68242.7390012714,12543.1946190259,-534675.25879792,686.440900071822,0.395001980877524,28272.0665574848,1486.35729276151,0,1
33.8,7.5199577482745,0,534187.524929704,69046.8892145113,11757.2609987286,-534187.524929704,687.064296817921,0.396530978503401,28323.4408777143,1537.75371759955,0,1
