time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,service_brake_request,traction_command
20.3,11.5214830730924,337826.8934382617,0.0,0.0,0.0,707996.5994191233,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.400000000000002,11.58404470839805,165932.0194424211,0.0,0.0,0.0,351903.0139981893,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.5,11.612368542237919,79489.4764182466,0.0,0.0,0.0,172845.8535858553,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.6,11.623574193934774,36010.4807285093,0.0,0.0,0.0,82801.53793567355,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.700000000000003,11.62622149661954,15173.36145775186,0.0,0.0,0.0,37510.91742553052,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.8,11.624590372187198,6341.957005280198,0.0,0.0,0.0,15805.584851824853,667.83231428256,0.35,26760.0,0.0,0.0,0.0
20.900000000000002,11.620926028269286,2732.8265824276104,0.0,0.0,0.0,6606.20521383354,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.0,11.616403644307963,1334.032658323206,0.0,0.0,0.0,2846.694356695428,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.1,11.611531804642276,834.4948820180613,0.0,0.0,0.0,1389.6173524200065,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.200000000000003,11.606525298466412,676.2289856424019,0.0,0.0,0.0,869.2655021021471,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.3,11.601471445035807,635.2141493680416,0.0,0.0,0.0,704.405193377502,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.400000000000002,11.596403380861652,629.8948779330138,0.0,0.0,0.0,661.68140559171,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.5,11.59133249391497,632.8530909789453,0.0,0.0,0.0,656.1404978468895,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.6,11.58626225245348,636.1373811761433,0.0,0.0,0.0,659.2219697697346,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.700000000000003,11.581193460852765,638.1768246374284,0.0,0.0,0.0,662.643105391816,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.8,11.576126150374524,639.1247170882551,0.0,0.0,0.0,664.7675256639878,667.83231428256,0.35,26760.0,0.0,0.0,0.0
21.900000000000002,11.571060199310736,639.39223799168,0.0,0.0,0.0,665.7549136335991,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.0,11.565995500735267,639.2934618897908,0.0,0.0,0.0,666.0335812413333,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.1,11.560931987670074,639.0145843612102,0.0,0.0,0.0,665.9306894685321,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.200000000000003,11.555869623683787,638.6530113986544,0.0,0.0,0.0,665.6401920429273,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.3,11.550808390467092,638.255690300781,0.0,0.0,0.0,665.263553540265,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.400000000000002,11.545748279196827,637.8438572414252,0.0,0.0,0.0,664.8496773966469,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.5,11.540689285624703,637.4265894876551,0.0,0.0,0.0,664.4206846264847,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.6,11.535631407573199,637.0075528202872,0.0,0.0,0.0,663.9860307163074,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.700000000000003,11.530574643750688,636.5881360047717,0.0,0.0,0.0,663.5495341877992,667.83231428256,0.35,26760.0,0.0,0.0,0.0
22.8,11.525518993223802,636.1688236565814,0.0,0.0,0.0,663.1126416716372,667.83231428256,0.35,26760.0,0.0,0.0,0.0
